%Å(56955) IO_TASK: MainBattery Voltage=2.37

I (56955) IO_TASK: Temperature=0.0 C

I (56965) IO_TASK: Ignition OFF

I (56965) IO_TASK: Sleep=9608

I (56975) IO_TASK: AD Voltage=0

I (56975) IO_TASK: MainBattery Voltage=2.37

I (56975) IO_TASK: Temperature=0.0 C

I (56985) IO_TASK: Ignition OFF

I (56985) IO_TASK: Sleep=9607

I (56995) BLE_TASK: Running...
I (56995) IO_TASK: AD Voltage=0

I (56995) IO_TASK: MainBattery Voltage=2.37

I (57005) IO_TASK: Temperature=0.0 C

I (57005) IO_TASK: Ignition OFF

I (57015) IO_TASK: Sleep=9606

I (57015) IO_TASK: AD Voltage=0

I (57015) IO_TASK: MainBattery Voltage=2.37

I (57025) IO_TASK: Temperature=0.0 C

I (57025) IO_TASK: Ignition OFF

I (57035) IO_TASK: Sleep=9605

I (57045) IO_TASK: AD Voltage=0

I (57045) IO_TASK: MainBattery Voltage=2.37

I (57045) IO_TASK: Temperature=0.0 C

I (57055) IO_TASK: Ignition OFF

I (57055) IO_TASK: Sleep=9604

I (57065) IO_TASK: AD Voltage=0

I (57065) IO_TASK: MainBattery Voltage=2.37

I (57065) IO_TASK: Temperature=0.0 C

I (57075) IO_TASK: Ignition OFF

I (57075) IO_TASK: Sleep=9603

I (57085) IO_TASK: AD Voltage=0

I (57085) IO_TASK: MainBattery Voltage=2.37

I (57085) IO_TASK: Temperature=0.0 C

I (57095) BLE_TASK: Running...
I (57095) IO_TASK: Ignition OFF

I (57105) IO_TASK: Sleep=9602

I (57105) IO_TASK: AD Voltage=0

I (57115) IO_TASK: MainBattery Voltage=2.37

I (57115) IO_TASK: Temperature=0.0 C

I (57115) IO_TASK: Ignition OFF

I (57125) IO_TASK: Sleep=9601

I (57135) IO_TASK: AD Voltage=0

I (57135) IO_TASK: MainBattery Voltage=2.37

I (57135) IO_TASK: Temperature=0.0 C

I (57145) IO_TASK: Ignition OFF

I (57145) IO_TASK: Sleep=9600

I (57155) IO_TASK: AD Voltage=0

I (57155) IO_TASK: MainBattery Voltage=2.37

I (57155) IO_TASK: Temperature=0.0 C

I (57165) IO_TASK: Ignition OFF

I (57165) IO_TASK: Sleep=9599

I (57175) IO_TASK: AD Voltage=0

I (57175) IO_TASK: MainBattery Voltage=2.37

I (57185) IO_TASK: Temperature=0.0 C

I (57185) IO_TASK: Ignition OFF

I (57185) IO_TASK: Sleep=9598

I (57195) BLE_TASK: Running...
I (57195) IO_TASK: AD Voltage=0

I (57205) IO_TASK: MainBattery Voltage=2.37

I (57205) IO_TASK: Temperature=0.0 C

I (57215) IO_TASK: Ignition OFF

I (57215) IO_TASK: Sleep=9597

I (57225) IO_TASK: AD Voltage=0

I (57225) IO_TASK: MainBattery Voltage=2.37

I (57225) IO_TASK: Temperature=0.0 C

I (57235) IO_TASK: Ignition OFF

I (57235) IO_TASK: Sleep=9596

I (57245) IO_TASK: AD Voltage=0

I (57245) IO_TASK: MainBattery Voltage=2.37

I (57245) IO_TASK: Temperature=0.0 C

I (57255) GSM_TASK: 
<<<<SEND GSM 1>>>>
GSM:>BAUD

AT

<<<<>>>>

I (57255) IO_TASK: Ignition OFF

I (57265) IO_TASK: Sleep=9595

I (57275) IO_TASK: AD Voltage=0

I (57275) IO_TASK: MainBattery Voltage=2.37

I (57275) IO_TASK: Temperature=0.0 C

I (57285) IO_TASK: Ignition OFF

I (57285) IO_TASK: Sleep=9594

I (57295) BLE_TASK: Running...
I (57295) IO_TASK: AD Voltage=0

I (57295) IO_TASK: MainBattery Voltage=2.37

I (57305) IO_TASK: Temperature=0.0 C

I (57305) IO_TASK: Ignition OFF

I (57315) IO_TASK: Sleep=9593

I (57315) IO_TASK: AD Voltage=0

I (57325) IO_TASK: MainBattery Voltage=2.37

I (57325) IO_TASK: Temperature=0.0 C

I (57325) IO_TASK: Ignition OFF

I (57335) IO_TASK: Sleep=9592

I (57345) IO_TASK: AD Voltage=0

I (57345) IO_TASK: MainBattery Voltage=2.37

I (57345) IO_TASK: Temperature=0.0 C

I (57355) IO_TASK: Ignition OFF

I (57355) IO_TASK: Sleep=9591

I (57365) IO_TASK: AD Voltage=0

I (57365) IO_TASK: MainBattery Voltage=2.37

I (57365) IO_TASK: Temperature=0.0 C

I (57375) IO_TASK: Ignition OFF

I (57375) IO_TASK: Sleep=9590

I (57385) IO_TASK: AD Voltage=0

I (57385) IO_TASK: MainBattery Voltage=2.37

I (57395) BLE_TASK: Running...
I (57395) IO_TASK: Temperature=0.0 C

I (57395) IO_TASK: Ignition OFF

I (57405) IO_TASK: Sleep=9589

I (57405) IO_TASK: AD Voltage=0

I (57415) IO_TASK: MainBattery Voltage=2.37

I (57415) IO_TASK: Temperature=0.0 C

I (57415) IO_TASK: Ignition OFF

I (57425) IO_TASK: Sleep=9588

I (57435) IO_TASK: AD Voltage=0

I (57435) IO_TASK: MainBattery Voltage=2.37

I (57435) IO_TASK: Temperature=0.0 C

I (57445) IO_TASK: Ignition OFF

I (57445) IO_TASK: Sleep=9587

I (57455) IO_TASK: AD Voltage=0

I (57455) IO_TASK: MainBattery Voltage=2.37

I (57455) IO_TASK: Temperature=0.0 C

I (57465) IO_TASK: Ignition OFF

I (57465) IO_TASK: Sleep=9586

I (57475) IO_TASK: AD Voltage=0

I (57475) IO_TASK: MainBattery Voltage=2.37

I (57485) IO_TASK: Temperature=0.0 C

I (57485) IO_TASK: Ignition OFF

I (57485) IO_TASK: Sleep=9585

I (57495) BLE_TASK: Running...
I (57495) IO_TASK: AD Voltage=0

I (57505) IO_TASK: MainBattery Voltage=2.37

I (57505) IO_TASK: Temperature=0.0 C

I (57515) GPS_TASK: <<<<NOT FIXING>>>>

I (57515) IO_TASK: Ignition OFF

I (57515) IO_TASK: Sleep=9584

I (57525) IO_TASK: AD Voltage=0

I (57525) IO_TASK: MainBattery Voltage=2.37

I (57535) IO_TASK: Temperature=0.0 C

I (57535) IO_TASK: Ignition OFF

I (57545) IO_TASK: Sleep=9583

